序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","風速 WIND_SPEED (m/sec)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2013/09/30,松山,2.2,0.32,406.03,38.8,45,23,17.0,13.07,1.44,11.6,1.859,0.062,1.8,2.8,25.63,84.0,43.0
2,臺北市,2013/09/30,古亭,1.6,0.45,-,28.0,33,31,16.0,22.31,4.04,18.27,1.967,0.113,1.85,2.64,25.55,94.1,34.0
3,臺北市,2013/09/30,中山,2.2,0.58,-,26.0,34,41,26.0,29.48,6.68,22.81,2.001,0.164,1.84,2.05,26.69,82.0,41.0
4,臺北市,2013/09/30,大同,2.2,1.15,-,-,-,47,25.0,55.61,30.09,25.52,2.245,0.352,1.89,-,-,-,47.0
5,臺北市,2013/09/30,萬華,1.5,0.44,-,25.1,33,27,18.0,24.13,5.0,19.13,-,-,-,2.82,26.56,82.65,32.0
6,臺北市,2013/09/30,陽明,1.2,0.14,400.5,41.5,46,6,6.0,3.56,2.41,1.15,-,-,-,-,20.52,100.0,43.0
7,臺北市,2013/09/30,士林,0.7,0.3,-,39.4,50,25,15.0,11.8,2.59,9.21,-,-,-,2.46,26.64,78.62,47.0
8,臺北市,2013/09/29,松山,2.7,0.26,405.53,26.6,30,24,20.0,12.45,1.93,10.5,1.843,0.063,1.78,2.47,27.34,74.68,29.0
9,臺北市,2013/09/29,古亭,2.2,0.3,-,23.5,26,37,20.0,15.35,3.9,11.45,1.915,0.075,1.84,3.16,28.05,74.43,37.0
10,臺北市,2013/09/29,中山,2.8,0.36,-,22.8,25,43,26.0,17.65,4.57,13.08,1.919,0.104,1.82,2.51,28.49,72.05,43.0
11,臺北市,2013/09/29,大同,2.4,0.8,-,-,-,40,26.0,41.48,21.64,19.84,2.112,0.238,1.87,-,-,-,40.0
12,臺北市,2013/09/29,萬華,2.9,0.3,-,20.5,22,27,19.0,19.82,5.34,14.48,-,-,-,3.54,28.32,72.68,27.0
