序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2012/12/31,松山,3.6,0.4,414.24,21.0,34,44,19.0,22.76,4.91,17.85,1.979,0.116,1.86,10.55,60.23,44.0
2,臺北市,2012/12/31,古亭,2.2,0.42,-,7.7,11,52,24.0,21.3,5.42,15.88,2.119,0.189,1.93,10.6,64.89,51.0
3,臺北市,2012/12/31,中山,2.7,0.51,-,15.2,27,56,29.0,34.98,10.66,24.32,2.134,0.171,1.96,11.39,60.04,53.0
4,臺北市,2012/12/31,大同,5.2,1.2,-,-,-,64,31.0,84.5,55.54,28.96,2.416,0.429,1.99,-,-,57.0
5,臺北市,2012/12/31,萬華,3.8,0.46,-,16.0,27,50,26.0,31.43,8.85,22.58,-,-,-,11.34,59.42,50.0
6,臺北市,2012/12/31,陽明,2.6,0.2,411.53,33.4,36,29,17.0,4.1,1.22,2.87,-,-,-,3.27,95.03,32.0
7,臺北市,2012/12/31,士林,3.6,0.29,-,28.8,33,53,25.0,12.62,2.47,10.15,-,-,-,10.97,65.23,52.0
8,臺北市,2012/12/30,松山,5.0,0.66,424.03,19.2,35,36,19.0,22.29,4.08,18.21,2.013,0.107,1.91,10.13,69.2,36.0
9,臺北市,2012/12/30,古亭,3.0,0.77,-,6.5,12,48,25.0,26.69,7.29,19.4,2.196,0.231,1.97,10.56,73.15,48.0
10,臺北市,2012/12/30,中山,5.1,0.78,-,13.1,23,37,26.0,33.91,9.72,24.18,2.148,0.151,2.0,11.11,69.37,37.0
